transaction_id,store_id,product_id,quantity,unit_price,transaction_time,ingestion_time,source_batch
eaa84727-3661-47a9-9d5e-35240dde6757,STR-017,PRD-0471,1,404.05,2026-05-25 13:44:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
a1a87a7d-a048-4057-8b96-bc3df2d8bd39,STR-011,PRD-0295,2,113.89,2026-05-25 14:54:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
1e3370f0-0e54-4109-8706-50fc326cd6ea,STR-004,PRD-0121,1,273.14,2026-05-25 14:30:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
b98cc210-8764-4368-9d9c-fcd43bb4f49a,STR-016,PRD-0245,3,53.96,2026-05-25 13:41:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
49f193c7-8baa-4d18-a158-94b9b72d280d,STR-008,PRD-0470,3,471.24,2026-05-25 14:01:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
a863a09a-af99-4d95-b927-bab99e78312e,STR-020,PRD-0249,2,433.28,2026-05-25 14:52:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
027c6bcf-2ddf-45c1-9412-140fae680d49,STR-012,PRD-0373,1,142.14,2026-05-25 14:36:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
215b8ecb-1b1e-40f7-b8ff-f4c8f144cf51,STR-006,PRD-0414,1,52.15,2026-05-25 14:58:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
fc6ca15b-1b7d-4b46-8df2-208fda66ed87,STR-015,,3,156.18,2026-05-25 13:58:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
8fd0a156-25ab-454b-bf33-b0acb22c71fb,STR-010,PRD-0238,1,193.45,2026-05-25 14:36:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
af57dfbb-cc7a-4739-acbb-86999080f851,STR-009,PRD-0432,3,66.86,2026-05-25 14:49:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
b61130b1-5cb9-48fc-b916-063d29cd0500,STR-016,PRD-0212,5,205.47,2026-05-25 13:48:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
226e3e27-ddb6-42c5-a3b8-ad58f1011fc6,STR-011,PRD-0287,1,224.69,2026-05-25 14:17:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
52dcb218-45c3-42f1-9438-66c60c1bbeb6,STR-009,PRD-0355,1,N/A,2026-05-25 14:17:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
34ceb577-20bf-48f7-95aa-8d54e474b181,STR-013,PRD-0241,1,444.51,2026-05-25 14:48:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
d32911d0-01f1-42f5-9672-5cefa7b0284f,STR-009,PRD-0133,2,254.18,2026-05-25 14:33:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
9232c4ba-27fc-48c3-8347-ec3b94f7cae7,STR-001,PRD-0289,2,15.46,2026-05-25 14:33:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
0b191858-5303-4feb-94c1-9477abad2bd4,STR-010,PRD-0300,2,275.83,2026-05-25 14:41:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
eeb2fde6-bd7c-4375-8f60-7f0e68a3a4cc,STR-009,PRD-0223,4,436.36,2026-05-25 13:36:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
45b18b8a-d9e9-4ded-b844-dc9c39da6736,STR-009,PRD-0196,3,284.77,2026-05-25 14:01:23.820826,2026-05-25 15:04:23.820826,batch_01.csv
