transaction_id,store_id,product_id,quantity,unit_price,transaction_time,ingestion_time,source_batch
92db7907-d0dd-4677-98a4-3937ebad6494,STR-001,PRD-0012,5,230.11,2026-05-24 15:42:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
e1b3b198-bb25-45d5-8bbf-5c6097a855ba,STR-011,PRD-0153,1,125.73,2026-05-24 15:26:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
6dfe22a4-7050-489a-bc65-d6cadecec0ff,STR-018,PRD-0087,3,488.79,2026-05-24 16:29:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
ef912f0a-ff05-48eb-bebf-c7a5f3c749d3,STR-016,PRD-0170,2,185.86,2026-05-24 16:29:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
23e5e221-e15f-4353-bb46-11db24d2fc1d,STR-015,PRD-0462,2,162.08,2026-05-24 15:52:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
9dc602ab-7dce-4514-bcd8-a2049102f4b4,STR-006,PRD-0301,5,283.71,2026-05-24 16:19:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
760c7c78-d1e2-437b-be0f-61d8b09f861b,STR-015,PRD-0189,3,458.85,2026-05-24 15:24:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
8ebd4c1b-4092-4f49-b758-437f97efd40f,STR-015,PRD-0410,2,60.1,2026-05-24 15:07:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
830e1a33-b24f-4678-b2dd-8fefc7a4c0b1,STR-018,,4,322.4,2026-05-24 15:06:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
d462731b-3526-4321-a8ac-efd8c44cdbcf,STR-016,PRD-0457,4,25.41,2026-05-24 15:17:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
61fe5afc-7138-4546-b948-b0a84952ed7d,STR-014,PRD-0494,3,67.2,2026-05-24 15:07:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
a5468310-b1fe-4619-8137-649fdaddf552,STR-020,PRD-0165,4,133.82,2026-05-24 16:26:49.427583,2026-05-24 16:34:49.427583,batch_02.csv
